-85,-24,-65,-101,-86,-13,0.0685185,NA,NA,NA,NA,NA,NA,NA,0.794286,0.274263,
-73,-12,-65,-101,-86,-13,-0.0814815,NA,NA,NA,NA,NA,NA,NA,0.235238,-0.168367,
-61,0,-65,-101,-86,-13,-0.510494,NA,NA,NA,NA,NA,NA,NA,0.117937,-0.387075,
-49,12,-65,-101,-86,-13,-0.367284,NA,NA,NA,NA,NA,NA,NA,1.04556,0.604535,
-37,24,-65,-101,-86,-13,-0.99321,NA,NA,NA,NA,NA,NA,NA,0.177937,0.408957,
-25,36,-65,-101,-86,-13,-0.251852,NA,NA,NA,NA,NA,NA,NA,0.345079,-0.48424,
-13,48,-65,-101,-86,-13,1.07222,NA,NA,NA,NA,NA,NA,NA,-0.0430159,0.10805,
-1,60,-65,-101,-86,-13,0.514815,NA,NA,NA,NA,NA,NA,NA,0.32381,-0.180612,
11,72,-65,-101,-86,-13,0.353086,NA,NA,NA,NA,NA,NA,NA,0.349365,-0.381293,
23,84,-65,-101,-86,-13,-21.6253,NA,NA,NA,NA,NA,NA,NA,-17.0168,3.87596,
-85,-24,-62,-98,-86,-13,0.0660494,NA,NA,NA,NA,NA,NA,NA,0.186984,-0.0380952,
-73,-12,-62,-98,-86,-13,-0.327778,NA,NA,NA,NA,NA,NA,NA,0.322698,-0.278118,
-61,0,-62,-98,-86,-13,-0.297531,NA,NA,NA,NA,NA,NA,NA,0.0433333,-0.619161,
-49,12,-62,-98,-86,-13,0.175926,NA,NA,NA,NA,NA,NA,NA,0.378571,0.00736961,
-37,24,-62,-98,-86,-13,-0.616049,NA,NA,NA,NA,NA,NA,NA,0.759524,0.505215,
-25,36,-62,-98,-86,-13,-0.57037,NA,NA,NA,NA,NA,NA,NA,0.211905,-0.289909,
-13,48,-62,-98,-86,-13,0.774074,NA,NA,NA,NA,NA,NA,NA,0.336825,0.274376,
-1,60,-62,-98,-86,-13,0.685802,NA,NA,NA,NA,NA,NA,NA,0.269841,0.45907,
11,72,-62,-98,-86,-13,0.0802469,NA,NA,NA,NA,NA,NA,NA,-0.0953968,-0.374263,
23,84,-62,-98,-86,-13,-17.3358,NA,NA,NA,NA,NA,NA,NA,-10.9079,0.696939,
-85,-24,-59,-95,-86,-13,0.0851852,NA,NA,NA,NA,NA,NA,NA,-0.13254,0.102494,
-73,-12,-59,-95,-86,-13,-0.041358,NA,NA,NA,NA,NA,NA,NA,-0.0734921,-0.191043,
-61,0,-59,-95,-86,-13,-0.164815,NA,NA,NA,NA,NA,NA,NA,-0.0377778,0.10034,
-49,12,-59,-95,-86,-13,0.333951,NA,NA,NA,NA,NA,NA,NA,0.166667,-0.142063,
-37,24,-59,-95,-86,-13,-0.375926,NA,NA,NA,NA,NA,NA,NA,0.507143,-0.33322,
-25,36,-59,-95,-86,-13,-0.869136,NA,NA,NA,NA,NA,NA,NA,-0.125397,0.0519274,
-13,48,-59,-95,-86,-13,0.00987654,NA,NA,NA,NA,NA,NA,NA,0.258095,0.264512,
-1,60,-59,-95,-86,-13,0.532099,NA,NA,NA,NA,NA,NA,NA,0.454286,0.207937,
11,72,-59,-95,-86,-13,0.228395,NA,NA,NA,NA,NA,NA,NA,-0.00666667,-0.224263,
23,84,-59,-95,-86,-13,-11.3735,NA,NA,NA,NA,NA,NA,NA,-5.66333,-0.210884,
-85,-24,-56,-92,-86,-13,0.252469,NA,NA,NA,NA,NA,NA,NA,-0.148413,-0.159297,
-73,-12,-56,-92,-86,-13,-0.183333,NA,NA,NA,NA,NA,NA,NA,-0.0306349,-0.0259637,
-61,0,-56,-92,-86,-13,0.0197531,NA,NA,NA,NA,NA,NA,NA,-0.162222,0.326644,
-49,12,-56,-92,-86,-13,0.142593,NA,NA,NA,NA,NA,NA,NA,0.198095,-0.0121315,
-37,24,-56,-92,-86,-13,0.156173,NA,NA,NA,NA,NA,NA,NA,0.124444,-0.472336,
-25,36,-56,-92,-86,-13,-0.919136,NA,NA,NA,NA,NA,NA,NA,-0.116667,0.380499,
-13,48,-56,-92,-86,-13,-0.469136,NA,NA,NA,NA,NA,NA,NA,-0.177143,0.217347,
