-71,-20,-42,-84,-89,-13,-0.106173,NA,NA,NA,NA,NA,NA,NA,0.28619,-0.0226757,
-59,-8,-42,-84,-89,-13,-0.27716,NA,NA,NA,NA,NA,NA,NA,-0.105079,0.176871,
-47,4,-42,-84,-89,-13,-0.312963,NA,NA,NA,NA,NA,NA,NA,0.344127,-0.0688209,
-35,16,-42,-84,-89,-13,-0.623457,NA,NA,NA,NA,NA,NA,NA,0.067619,0.54127,
-23,28,-42,-84,-89,-13,-0.00802469,NA,NA,NA,NA,NA,NA,NA,0.384762,-0.216213,
-11,40,-42,-84,-89,-13,-0.368519,NA,NA,NA,NA,NA,NA,NA,0.173968,-0.358844,
1,52,-42,-84,-89,-13,-0.148148,NA,NA,NA,NA,NA,NA,NA,0.134286,0.224036,
13,64,-42,-84,-89,-13,-0.0432099,NA,NA,NA,NA,NA,NA,NA,NA,-0.319955,
25,76,-42,-84,-89,-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
-71,-20,-39,-81,-89,-13,-0.0555556,NA,NA,NA,NA,NA,NA,NA,0.194921,-0.0927438,
-59,-8,-39,-81,-89,-13,-0.246296,NA,NA,NA,NA,NA,NA,NA,0.133651,-0.0249433,
-47,4,-39,-81,-89,-13,0.0771605,NA,NA,NA,NA,NA,NA,NA,0.15873,0.13458,
-35,16,-39,-81,-89,-13,-0.274074,NA,NA,NA,NA,NA,NA,NA,0.00936508,0.298526,
-23,28,-39,-81,-89,-13,0.0246914,NA,NA,NA,NA,NA,NA,NA,0.304762,-0.429819,
-11,40,-39,-81,-89,-13,0.161111,NA,NA,NA,NA,NA,NA,NA,0.0442857,-0.336848,
1,52,-39,-81,-89,-13,0.274691,NA,NA,NA,NA,NA,NA,NA,0.469365,0.0109977,
13,64,-39,-81,-89,-13,-0.566049,NA,NA,NA,NA,NA,NA,NA,NA,-0.609977,
25,76,-39,-81,-89,-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
-71,-20,-36,-78,-89,-13,-0.357407,NA,NA,NA,NA,NA,NA,NA,-0.230794,-0.395238,
-59,-8,-36,-78,-89,-13,-0.475926,NA,NA,NA,NA,NA,NA,NA,-0.204444,-0.0986395,
-47,4,-36,-78,-89,-13,-0.0666667,NA,NA,NA,NA,NA,NA,NA,0.0190476,-0.237755,
-35,16,-36,-78,-89,-13,0.209877,NA,NA,NA,NA,NA,NA,NA,0.525079,0.335714,
-23,28,-36,-78,-89,-13,0.120988,NA,NA,NA,NA,NA,NA,NA,0.353016,0.337868,
-11,40,-36,-78,-89,-13,0.496296,NA,NA,NA,NA,NA,NA,NA,0.379048,-0.304762,
1,52,-36,-78,-89,-13,0.925309,NA,NA,NA,NA,NA,NA,NA,-0.0653968,-0.172222,
13,64,-36,-78,-89,-13,-0.132716,NA,NA,NA,NA,NA,NA,NA,NA,-0.704195,
25,76,-36,-78,-89,-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
-71,-20,-33,-75,-89,-13,-0.469136,NA,NA,NA,NA,NA,NA,NA,-0.129683,-0.396259,
-59,-8,-33,-75,-89,-13,-0.966667,NA,NA,NA,NA,NA,NA,NA,0.286032,-0.0587302,
-47,4,-33,-75,-89,-13,-0.45,NA,NA,NA,NA,NA,NA,NA,-0.051746,0.0190476,
-35,16,-33,-75,-89,-13,0.266049,NA,NA,NA,NA,NA,NA,NA,0.340794,-0.0386621,
-23,28,-33,-75,-89,-13,-0.42716,NA,NA,NA,NA,NA,NA,NA,0.21746,0.386735,
-11,40,-33,-75,-89,-13,0.643827,NA,NA,NA,NA,NA,NA,NA,0.211111,-0.39161,
1,52,-33,-75,-89,-13,0.630864,NA,NA,NA,NA,NA,NA,NA,0.16,-0.258277,
13,64,-33,-75,-89,-13,-0.25679,NA,NA,NA,NA,NA,NA,NA,NA,-1.02098,
25,76,-33,-75,-89,-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
-71,-20,-30,-72,-89,-13,-0.305556,NA,NA,NA,NA,NA,NA,NA,0.113333,-0.615646,
-59,-8,-30,-72,-89,-13,-0.954321,NA,NA,NA,NA,NA,NA,NA,0.326508,0.0286848,
-47,4,-30,-72,-89,-13,-0.238272,NA,NA,NA,NA,NA,NA,NA,0.135873,-0.120975,
-35,16,-30,-72,-89,-13,0.416049,NA,NA,NA,NA,NA,NA,NA,0.234444,-0.095805,
-23,28,-30,-72,-89,-13,-0.266667,NA,NA,NA,NA,NA,NA,NA,-0.17746,0.846145,
-11,40,-30,-72,-89,-13,0.726543,NA,NA,NA,NA,NA,NA,NA,-0.354762,-0.309751,
1,52,-30,-72,-89,-13,0.497531,NA,NA,NA,NA,NA,NA,NA,0.116667,-0.378798,
13,64,-30,-72,-89,-13,-1.06914,NA,NA,NA,NA,NA,NA,NA,NA,-1.10125,
25,76,-30,-72,-89,-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
-71,-20,-27,-69,-89,-13,0.149383,NA,NA,NA,NA,NA,NA,NA,-0.0336508,-0.483787,
-59,-8,-27,-69,-89,-13,-0.959259,NA,NA,NA,NA,NA,NA,NA,0.144286,-0.0647392,
-47,4,-27,-69,-89,-13,-0.290741,NA,NA,NA,NA,NA,NA,NA,-0.151746,0.169841,
