-76,-28,-36,-82,-79,-5,-0.453704,NA,NA,NA,NA,NA,NA,NA,0.214444,-0.532993,
-64,-16,-36,-82,-79,-5,-0.632099,NA,NA,NA,NA,NA,NA,NA,0.0242857,-0.430952,
-52,-4,-36,-82,-79,-5,-0.737654,NA,NA,NA,NA,NA,NA,NA,-0.469683,-0.41542,
-40,8,-36,-82,-79,-5,-1.28889,NA,NA,NA,NA,NA,NA,NA,-2.17302,0.58254,
-28,20,-36,-82,-79,-5,-0.300617,NA,NA,NA,NA,NA,NA,NA,-3.21397,0.905782,
-16,32,-36,-82,-79,-5,0.0771605,NA,NA,NA,NA,NA,NA,NA,-1.35714,0.980272,
-4,44,-36,-82,-79,-5,0.25,NA,NA,NA,NA,NA,NA,NA,3.40333,0.979365,
8,56,-36,-82,-79,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.651134,
-76,-28,-33,-79,-79,-5,-0.803086,NA,NA,NA,NA,NA,NA,NA,0.613968,-0.433673,
-64,-16,-33,-79,-79,-5,-0.738889,NA,NA,NA,NA,NA,NA,NA,0.32873,-0.350454,
-52,-4,-33,-79,-79,-5,-1.0821,NA,NA,NA,NA,NA,NA,NA,-0.437619,-0.660317,
-40,8,-33,-79,-79,-5,-1.19506,NA,NA,NA,NA,NA,NA,NA,-2.19302,0.426757,
-28,20,-33,-79,-79,-5,-0.325309,NA,NA,NA,NA,NA,NA,NA,-4.19032,0.996712,
-16,32,-33,-79,-79,-5,0.277778,NA,NA,NA,NA,NA,NA,NA,-0.335556,1.33095,
-4,44,-33,-79,-79,-5,-0.458642,NA,NA,NA,NA,NA,NA,NA,4.54254,0.940023,
8,56,-33,-79,-79,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.01531,
-76,-28,-30,-76,-79,-5,-1.41852,NA,NA,NA,NA,NA,NA,NA,1.13651,-0.218367,
-64,-16,-30,-76,-79,-5,-1.19568,NA,NA,NA,NA,NA,NA,NA,0.404127,-0.344104,
-52,-4,-30,-76,-79,-5,-1.1321,NA,NA,NA,NA,NA,NA,NA,0.012381,-0.6839,
-40,8,-30,-76,-79,-5,-1.52963,NA,NA,NA,NA,NA,NA,NA,-2.1646,0.316667,
-28,20,-30,-76,-79,-5,-1.02099,NA,NA,NA,NA,NA,NA,NA,-4.71,0.964286,
-16,32,-30,-76,-79,-5,-0.52284,NA,NA,NA,NA,NA,NA,NA,0.92619,1.95918,
-4,44,-30,-76,-79,-5,-0.248765,NA,NA,NA,NA,NA,NA,NA,5.42714,0.656009,
8,56,-30,-76,-79,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.31859,
